threshold_id,metric_id,frequency_scope,population_scope,green_rule,amber_rule,red_rule,critical_rule,insufficient_sample_rule,persistence_rule,source_type,rationale,version
E0-THR-PSI,PSI,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x < 0.10,0.10 <= x < 0.25,x >= 0.25,,eligible n>=1000 where applicable,same metric+frequency+population,PROJECT_INTERNAL,Preserves existing PSI levels; closes .25 overlap deterministically,E0-1.0.1
E0-THR-MISSINGNESS,MISSINGNESS_SHIFT_PP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x < 2,2 <= x <= 5,x > 5,,eligible source-field coverage,same metric+frequency+population,PROJECT_INTERNAL,Absolute missingness shift in percentage points,E0-1.0.1
E0-THR-COVERAGE,COVERAGE_DROP_PP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x < 2,2 <= x <= 5,x > 5,,eligible source-field coverage,same metric+frequency+population,PROJECT_INTERNAL,Absolute coverage drop in percentage points,E0-1.0.1
E0-THR-AUC,AUC_DROP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x <= 0.02,0.02 < x <= 0.05,x > 0.05,,"n>=1000,bad>=100,good>=100",same metric+frequency+population,PROJECT_INTERNAL,Reference AUC minus monitored AUC,E0-1.0.1
E0-THR-KS,KS_DROP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x <= 0.03,0.03 < x <= 0.07,x > 0.07,,"n>=1000,bad>=100,good>=100",same metric+frequency+population,PROJECT_INTERNAL,Reference KS minus monitored KS,E0-1.0.1
E0-THR-CALGAP,CALIBRATION_GAP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x < 0.02,0.02 <= x <= 0.05,x > 0.05,,"n>=2000,bad>=150",same metric+frequency+population,PROJECT_INTERNAL,Absolute mean prediction minus observed BAD rate,E0-1.0.1
E0-THR-CALSLOPE,CALIBRATION_SLOPE,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,0.75 <= x <= 1.25,0.65 <= x < 0.75 or 1.25 < x <= 1.35,x < 0.65 or x > 1.35,,"n>=2000,bad>=150",same metric+frequency+population,PROJECT_INTERNAL,Exact slope bands; boundary tests frozen,E0-1.0.1
E0-THR-DECILE,DECILE_MONOTONICITY_VIOLATIONS,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x == 0,x == 1,x >= 2,,outcome eligible,same metric+frequency+population,PROJECT_INTERNAL,Frozen decile backtest violations,E0-1.0.1
E0-THR-QAUC,QUARTERLY_AUC_RANGE,quarterly,LANE_A_C8E_MATCHED_SCORED,x < 0.05,0.05 <= x <= 0.08,x > 0.08,,all eligible quarterly windows,same metric+frequency+population,PROJECT_INTERNAL,Range across eligible quarterly AUC,E0-1.0.1
E0-THR-RISKSHIFT,RISK_BAND_SHARE_SHIFT_PP,annual|quarterly|monthly,LANE_A_C8E_MATCHED_SCORED,x < 5,5 <= x <= 10,x > 10,,monitor population eligible,same metric+frequency+population,PROJECT_INTERNAL,Absolute share shift in percentage points,E0-1.0.1
E0-THR-EL,EL_RATE_INCREASE_PCT,annual,LANE_A_C8E_MATCHED_SCORED,x < 10,10 <= x <= 25,x > 25,,EAD and LGD evidence available,same metric+frequency+population,PROJECT_INTERNAL,Relative EL-rate increase,E0-1.0.1
E0-THR-CAPACITY,REVIEW_CAPACITY_OVER_PP,policy_simulation,LANE_A_C8E_MATCHED_SCORED,x <= 0,0 < x <= 2,x > 2,,frozen D6 scenario available,same metric+frequency+population,PROJECT_INTERNAL,Frozen D6 review-capacity overage,E0-1.0.1
